# Program:featureCounts v2.0.3; Command:"/home/nilmbb/dmalcov/vigna/subread-2.0.3-source/bin/featureCounts" "-p" "--countReadPairs" "-t" "exon" "-g" "gene_id" "-a" "v6.gtf" "-o" "VR4R1counts.txt" "alignments/VR4R1/VR4R1Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/VR4R1/VR4R1Aligned.sortedByCoord.out.bam
gene:Vradi01g00110	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	144297;144297;145345;145345;145600;145600;147008;147008;147240;147240;147672;147672;147869;147869;148046;148046;148232;148232;148446;148446;148585;148585	144587;144587;145545;145545;145659;145770;147108;147108;147273;147273;147776;147776;147939;147939;148148;148148;148366;148366;148508;148508;148809;148809	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1500	339
gene:Vradi01g00120	CM003504.1;CM003504.1	148787;150005	149261;150756	+;+	1227	367
gene:Vradi01g00130	CM003504.1;CM003504.1	170974;171563	171084;171853	+;+	402	0
gene:Vradi01g00140	CM003504.1;CM003504.1	173797;174970	174495;175104	-;-	834	93
gene:Vradi01g00150	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	185460;185644;186641;187146;187401;188809;189123;189472;190033;190247;190386	185483;185910;186841;187346;187460;188909;189180;189576;190167;190309;190610	-;-;-;-;-;-;-;-;-;-;-	1440	104
gene:Vradi01g00160	CM003504.1;CM003504.1	190588;191806	191062;192557	+;+	1227	34
gene:Vradi01g00170	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	210952;211295;211490;211683;211890;212086;212608;212767	211014;211415;211605;211782;211993;212196;212684;212845	+;+;+;+;+;+;+;+	771	0
gene:Vradi01g00180	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	220715;221491;221916;223050;223954;224553	221178;221665;222100;223175;224042;224946	+;+;+;+;+;+	1433	703
gene:Vradi01g00190	CM003504.1	226794	227276	+	483	296
gene:Vradi01g00200	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	229229;229229;230954;230954;232051;232051;233609;233638;234159;234209;234888;234888;235583;235583;235788;235788;236336;236336	230349;230349;231160;231160;232717;232717;233672;233672;234419;234419;235239;235239;235674;235674;236104;236104;236812;236812	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3558	867
gene:Vradi01g00210	CM003504.1;CM003504.1	236380;241158	236782;241561	+;+	807	0
gene:Vradi01g00220	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	245884;246668;247301;247471;248013;248346;249266	246108;247212;247387;247527;248251;248551;249286	+;+;+;+;+;+;+	1380	15
gene:Vradi01g00230	CM003504.1;CM003504.1;CM003504.1	254443;255542;257293	255180;257131;257851	-;-;-	2887	3891
gene:Vradi01g00240	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	257884;258613;259255;259874;260128;262020;262496;262709;262908;263196;263383;263618;264331	258532;258776;259362;260044;260511;262234;262613;262841;263109;263301;263523;263978;264707	+;+;+;+;+;+;+;+;+;+;+;+;+	3129	229
gene:Vradi01g00250	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	372363;373223;373654;374322;374892;375695;375907;376057;376675	373143;373260;373737;374431;375002;375773;375989;376112;377526	-;-;-;-;-;-;-;-;-	2194	454
gene:Vradi01g00260	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	408098;408098;408541;408541;408712;408712;409539;409539;409978;409978;410427;410427;411026;411026;411171;411171;411568;411568;411971;412196;412364	408454;408454;408600;408600;408789;408789;409616;409616;410054;410054;410535;410535;411091;411091;411317;411335;411767;411949;412194;412337;412401	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1776	590
gene:Vradi01g00270	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	433867;434587;435068;435553;435778;436042	434344;434747;435184;435670;435962;436316	-;-;-;-;-;-	1334	2157
gene:Vradi01g00280	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	465083;466097;466427;467029;467243;467709	465808;466187;466622;467153;467401;468422	+;+;+;+;+;+	2011	1088
gene:Vradi01g00290	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	470565;470885;472598;473197;474261;474786	470650;470942;472784;473681;474532;474852	+;+;+;+;+;+	1155	13
gene:Vradi01g00300	CM003504.1;CM003504.1;CM003504.1;CM003504.1	476195;477628;478490;479096	476926;478029;478939;479683	+;+;+;+	2172	331
gene:Vradi01g00310	CM003504.1	482585	483712	-	1128	173
gene:Vradi01g00320	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	490830;491031;491213;491833;492035;492847;493127;493290;493642;493789;494743;494861;495082;495233;495795;496125;496323;496550;497497;498690	490914;491083;491262;491960;492087;492993;493200;493359;493695;493884;494793;494947;495147;495304;495980;496228;496368;496615;498267;499546	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3116	1883
gene:Vradi01g00330	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	499644;500408;500621;500845;501088;501321;501653;501977;507008;508395	500296;500507;500723;500976;501245;501377;501727;502067;507089;508464	-;-;-;-;-;-;-;-;-;-	1521	691
gene:Vradi01g00340	CM003504.1;CM003504.1	620536;621191	620795;621989	+;+	1059	27
gene:Vradi01g00350	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	622825;624527;624955;626504;626714	623497;624610;625263;626589;627113	-;-;-;-;-	1552	6101
gene:Vradi01g00360	CM003504.1;CM003504.1;CM003504.1	627615;629764;631421	628743;630819;631708	-;-;-	2473	1411
gene:Vradi01g00370	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	639029;639032;639810;639810;640054;640054;640253;640253;641733;641733;643011;643163;643174	639536;639536;639958;639958;640149;640149;640498;640498;641938;641938;643085;643427;643407	-;-;-;-;-;-;-;-;-;-;-;-;-	1545	791
gene:Vradi01g00380	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	644667;645182;645799;646319;646485	645101;645317;645948;646408;647272	+;+;+;+;+	1599	31
gene:Vradi01g00390	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	651557;651803;653693;654403;654627;654937;655188	651630;652103;653862;654502;654790;654977;655440	-;-;-;-;-;-;-	1103	997
gene:Vradi01g00400	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	659474;660463;660774;661112;661418;661719;661883;662126;662474;665178;665974;666174;667381;668192;668747;668894;672786;673456;673675;674063;676253;677159;678202;678472;680028;680382;680603;682692;682928;683262;684063;685507;685828;686388;687865	660140;660523;660865;661178;661631;661811;662024;662233;662549;665249;666086;666276;667792;668319;668809;669049;672905;673575;673821;674131;676312;677350;678264;678579;680302;680505;681226;682840;683057;683342;684409;685723;685994;686653;688240	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6202	574
gene:Vradi01g00410	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	713037;715692;716065;716409;716893;717967	713245;715852;716123;716495;717010;718265	+;+;+;+;+;+	933	71
gene:Vradi01g00420	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	722737;723585;724665;724974;726021	723285;724322;724842;725341;726741	+;+;+;+;+	2554	1410
gene:Vradi01g00430	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	729142;729295;729555;729769;730324;731308	729169;729476;729683;729831;730461;731442	-;-;-;-;-;-	675	6
gene:Vradi01g00440	CM003504.1;CM003504.1;CM003504.1;CM003504.1	738176;739281;740532;741144	738590;739559;740879;741683	+;+;+;+	1582	767
gene:Vradi01g00450	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	747660;748982;749248;751820;753290;757153	747951;749076;749870;753016;753625;757969	+;+;+;+;+;+	3360	611
gene:Vradi01g00460	CM003504.1	759940	761388	-	1449	42
gene:Vradi01g00470	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	762781;764158;764401;764682;766531;766933;768245;768642;768837;769127;769423;769604;769844;770333;770537;770700;772153;772430;772849;773635;773850;774055;774924	763529;764276;764551;765341;766827;767826;768427;768719;769052;769245;769514;769734;770003;770423;770618;770831;772340;772613;773102;773737;773933;774339;775313	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5642	159
gene:Vradi01g00480	CM003504.1;CM003504.1	791409;792106	791440;792460	-;-	387	9
gene:Vradi01g00490	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	798268;798489;799057;799367;799650;800131;800491;800972;801427	798411;798749;799275;799504;799817;800244;800598;801063;801878	+;+;+;+;+;+;+;+;+	1696	533
gene:Vradi01g00500	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	802689;803601;803718;803869;804019;804196;804526;804678;804826;805017;805215;805408;805542;805715;806542;806727	803468;803649;803785;803940;804103;804272;804604;804754;804889;805104;805311;805446;805603;805823;806654;806915	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2048	86
gene:Vradi01g00510	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	810868;811796;812102;812379;812798;813457;813692	810911;811965;812285;812559;812897;813552;813711	+;+;+;+;+;+;+	795	214
gene:Vradi01g00520	CM003504.1	821161	821469	+	309	12
gene:Vradi01g00530	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	847198;848137;849215;849689;850058	847575;848279;849562;849796;850910	-;-;-;-;-	1830	161
gene:Vradi01g00540	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	854899;855600;856344;856826;857237;857403;858102;858543;859375;860720;861008;861430;861706;861945;862257;863495;863740	855513;856229;856487;856905;857320;857622;858232;858719;859500;860882;861145;861549;861867;862070;862427;863650;864160	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3664	334
gene:Vradi01g00550	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	866382;866829;867374;868365;868618;869667;869803;869982;870414;870635;870739;870891;871612;871753;872594;875383	866740;866872;867483;868402;868695;869720;869904;870070;870570;870653;870807;871006;871646;871895;872716;876015	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2169	608
gene:Vradi01g00560	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	882330;882738;882965;884276;884517;884714;885441	882437;882860;883117;884361;884601;884833;885650	+;+;+;+;+;+;+	885	709
gene:Vradi01g00570	CM003504.1;CM003504.1;CM003504.1	899147;905147;905576	899306;905245;905886	-;-;-	570	0
gene:Vradi01g00580	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	920852;921250;921832;922351;922793;923651;924113;924358;924434;924733;925493	921165;921741;922218;922628;923143;923920;924249;924382;924502;924888;925722	-;-;-;-;-;-;-;-;-;-;-	2709	2750
gene:Vradi01g00590	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	927286;928169;929074;930720;931151;933115;933241;934231;934816	927850;928906;929165;930819;931300;933173;933340;934313;934825	-;-;-;-;-;-;-;-;-	1897	1240
gene:Vradi01g00600	CM003504.1;CM003504.1	960554;960910	960803;961061	-;-	402	0
gene:Vradi01g00610	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	982274;983022;983515;984077;985208;985598	982544;983153;983724;984284;985398;986292	+;+;+;+;+;+	1707	12
gene:Vradi01g00620	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	989046;990064;990650;992107;992410	989193;990134;990769;992225;992539	+;+;+;+;+	588	6306
gene:ENSRNA050006459	CM003504.1	1042748	1042819	+	72	0
gene:Vradi01g00630	CM003504.1;CM003504.1	1046123;1047868	1046529;1049917	+;+	2457	103
gene:Vradi01g00640	CM003504.1;CM003504.1;CM003504.1;CM003504.1	1050371;1050874;1051505;1052673	1050756;1050992;1051626;1052850	-;-;-;-	805	749
gene:Vradi01g00650	CM003504.1;CM003504.1	1072326;1072608	1072435;1072818	-;-	321	349
gene:Vradi01g00660	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	1089355;1089710;1089986;1090121;1091133;1091257;1091389;1091997;1092222;1093531;1093717;1093974;1094181;1094330;1094590;1094760;1094964;1095096;1095491;1096086;1102402	1089446;1089764;1090037;1090179;1091179;1091299;1091511;1092073;1092313;1093604;1093863;1094042;1094246;1094500;1094658;1094841;1095008;1095220;1095745;1096684;1102791	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2732	3216
gene:Vradi01g00670	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	1126055;1127593;1129891;1130102;1130888;1131035;1131377;1133503	1126996;1128956;1130004;1130378;1130959;1131276;1131518;1133568	+;+;+;+;+;+;+;+	3219	737
gene:Vradi01g00680	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	1182429;1182663;1183227;1183398;1183756;1186269	1182569;1182685;1183323;1183628;1183881;1186334	+;+;+;+;+;+	684	8
gene:Vradi01g00690	CM003504.1;CM003504.1	1276447;1277487	1277186;1277529	+;+	783	42
gene:Vradi01g00700	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	1285908;1287338;1287618;1287862;1288920;1289304;1289880;1290288	1286201;1287396;1287767;1287910;1289005;1289409;1290038;1290558	+;+;+;+;+;+;+;+	1174	35023
gene:Vradi01g00710	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	1292490;1293951;1294349;1294629;1295214;1295746;1296567;1297227;1297407	1292802;1294085;1294501;1294827;1295251;1295917;1296618;1297300;1298044	-;-;-;-;-;-;-;-;-	1774	2272
gene:Vradi01g00720	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	1297713;1298193;1298451;1299069;1299835;1300333;1301445;1301824	1297827;1298356;1298969;1299134;1300239;1300456;1301530;1301970	+;+;+;+;+;+;+;+	1626	900
gene:Vradi01g00730	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	1303638;1304177;1304974;1305136;1305305;1305948;1306291;1307321;1307950;1308157;1308864;1309537;1309713	1303962;1304249;1305055;1305226;1305381;1305989;1306412;1307401;1308035;1308240;1308917;1309604;1310143	-;-;-;-;-;-;-;-;-;-;-;-;-	1616	267
gene:Vradi01g00740	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	1312008;1312180;1312818;1312818;1313544;1313544;1314176;1314176;1314480;1314480;1314628;1314628;1315201;1315201;1315716;1315716	1312060;1312223;1312969;1312969;1313895;1313895;1314268;1314268;1314536;1314536;1314708;1314708;1315262;1315262;1316989;1316989	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2168	299
gene:Vradi01g00750	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	1322135;1322903;1323611;1323878;1324551	1322531;1323103;1323783;1324148;1325141	+;+;+;+;+	1633	301
gene:Vradi01g00760	CM003504.1;CM003504.1;CM003504.1;CM003504.1	1327153;1327963;1330580;1330846	1327684;1329924;1330641;1330914	-;-;-;-	2625	679
gene:Vradi01g00770	CM003504.1;CM003504.1	1340526;1341597	1340794;1341756	-;-	429	213
gene:Vradi01g00780	CM003504.1;CM003504.1;CM003504.1;CM003504.1	1355421;1356084;1356341;1356812	1355983;1356243;1356664;1357260	-;-;-;-	1496	801
gene:Vradi01g00790	CM003504.1;CM003504.1;CM003504.1;CM003504.1	1367116;1367486;1367785;1368208	1367381;1367645;1368108;1368390	-;-;-;-	933	513
gene:Vradi01g00800	CM003504.1;CM003504.1	1373450;1373795	1373721;1375142	-;-	1620	0
gene:Vradi01g00810	CM003504.1;CM003504.1;CM003504.1	1379000;1380375;1380665	1379154;1380484;1381062	-;-;-	663	0
gene:Vradi01g00820	CM003504.1;CM003504.1;CM003504.1;CM003504.1	1386450;1386609;1386787;1387184	1386553;1386660;1387096;1387194	-;-;-;-	477	290
gene:Vradi01g00830	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	1390255;1391326;1391543;1391755;1391951;1392146;1392913;1393276;1393724;1393921;1394373;1395577;1396049	1390854;1391450;1391684;1391841;1392023;1392202;1392977;1393327;1393795;1394003;1394412;1395682;1396154	-;-;-;-;-;-;-;-;-;-;-;-;-	1608	487
gene:Vradi01g00840	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	1400413;1400912;1401120;1401425;1402080;1402837	1400828;1401024;1401244;1401965;1402251;1402890	-;-;-;-;-;-	1421	2329
gene:Vradi01g00850	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	1413725;1413725;1413725;1414316;1414316;1414316;1414602;1414602;1414602;1415340;1415340;1415340;1415560;1415560;1415560;1415751;1415751;1415751;1420296;1422115;1422115;1422115;1422387;1422387;1422387;1422833;1422833;1422833;1423545;1423545;1423545;1423996;1423996;1423996;1424205;1424205;1424205;1424528	1413990;1413990;1413990;1414487;1414487;1414487;1415142;1415142;1415142;1415464;1415464;1415464;1415672;1415672;1415672;1415799;1415828;1415799;1420380;1422242;1422242;1422242;1422558;1422558;1422558;1423373;1423373;1423373;1423669;1423669;1423669;1424108;1424108;1424108;1424577;1424577;1424314;1424564	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2832	2995
gene:Vradi01g00860	CM003504.1;CM003504.1;CM003504.1;CM003504.1	1462773;1463980;1464932;1467001	1463413;1464144;1465116;1467016	-;-;-;-	1007	1191
gene:Vradi01g00870	CM003504.1;CM003504.1;CM003504.1;CM003504.1	1467611;1468673;1468913;1469701	1468571;1468816;1469205;1470302	+;+;+;+	2000	220
gene:Vradi01g00880	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	1478600;1478921;1479550;1480482;1480673;1480812;1481109;1481800;1481943;1482146;1482336;1482493;1482711;1482897;1483194;1483413;1483622;1483832;1484032	1478786;1478981;1479681;1480588;1480724;1480896;1481199;1481838;1482010;1482208;1482391;1482566;1482803;1483002;1483309;1483504;1483637;1483942;1484348	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1866	322
gene:Vradi01g00890	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	1489452;1491018;1491641;1491934;1492771;1493203	1489985;1491139;1491837;1492108;1492905;1493998	+;+;+;+;+;+	1959	840
gene:Vradi01g00900	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	1495369;1495954;1496249;1496824;1497920;1498250;1499164	1495864;1496025;1496391;1497059;1498107;1498540;1499541	-;-;-;-;-;-;-	1804	2160
gene:Vradi01g00910	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	1536210;1537083;1537368;1543329;1543485	1536874;1537119;1537430;1543374;1543740	-;-;-;-;-	1067	170
gene:Vradi01g00920	CM003504.1;CM003504.1;CM003504.1;CM003504.1	1571551;1572676;1573183;1574222	1572079;1572806;1573422;1574962	+;+;+;+	1641	4830
gene:Vradi01g00930	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	1575679;1578070;1580762;1581283;1581674;1582561;1583680;1584492;1585747;1586947	1577288;1580196;1581196;1581381;1582009;1582866;1584372;1585592;1586458;1586975	-;-;-;-;-;-;-;-;-;-	7448	626
gene:Vradi01g00940	CM003504.1;CM003504.1	1603898;1604134	1604049;1604359	+;+	378	5
